Description,Notes,Receipt,Date,Amount,income/expense,uses,Account,Category,Double Checked
Start Konto (Last Year),,,"January 1, 2021",6206.42,income,gereja,commerzbank,,Yes
FeG-Aachen,,,"January 2, 2021",-750,expense,internal,commerzbank,,Yes
Uang Pendeta,,,"January 2, 2021",-290,expense,pendeta,commerzbank,,Yes
Uang Dekor,ganti uang ruth tuk decor,,"January 4, 2021",-3.88,expense,internal,commerzbank,Acara Natal,Yes
Persembahan (Januari),,,"January 9, 2021",511,income,,commerzbank,,Yes
Kartu Natal Dekor,,,"January 11, 2021",-10,expense,internal,commerzbank,Acara Natal,Yes
Hadiah Perpisahan,(Tumblr + Pigura),,"January 11, 2021",-24,expense,internal,commerzbank,Other,Yes
Bantuan evg. Riggruben,,https://www.notion.soundefined,"January 12, 2021",50,income,,commerzbank,,Yes
Hadiah Perpisahan,Hadiah Perpisahan,https://www.notion.soundefined,"January 13, 2021",-26.3,expense,internal,commerzbank,Other,Yes
"Hadiah Perpisahan ","Hadiah Perpisahan ",S__29950058.jpg,"January 13, 2021",-11.69,expense,internal,commerzbank,Other,Yes
"Persembahan ",,,"January 16, 2021",37,income,,sparkasse,Persembahan,Yes
Persembahan ibadah natal,,"Einzahlungsquittung.pdf, 766605F9-9003-48F5-A22F-529A51E48A22.jpeg","January 18, 2021",175.13,income,,commerzbank,,Yes
Persembahan,,,"January 23, 2021",72.5,income,,sparkasse,Persembahan,Yes
Persembahan,,,"January 30, 2021",120,income,,sparkasse,Persembahan,Yes
Persembahan,,https://www.notion.soundefined,"February 1, 2021",178.48,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"February 1, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"February 6, 2021",156,income,,sparkasse,Persembahan,Yes
Persembahan,,,"February 13, 2021",91,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"February 15, 2021",50,income,,sparkasse,Pendeta,Yes
Persembahan,,,"February 20, 2021",142,income,,sparkasse,Persembahan,Yes
Persembahan,,,"February 27, 2021",130,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"March 1, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"March 6, 2021",297.48,income,,sparkasse,Persembahan,Yes
Support dari Alumni,,,"March 9, 2021",50,income,,sparkasse,Pendeta,Yes
Persembahan,,,"March 13, 2021",197,income,,sparkasse,Persembahan,Yes
Persembahan,,,"March 20, 2021",204.5,income,,sparkasse,Persembahan,Yes
Website Perki,,,"March 23, 2021",-54.84,expense,eksternal,sparkasse,Other,Yes
Persembahan,,,"March 27, 2021",217,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"April 1, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan Paskah,,,"April 4, 2021",193.99,income,,sparkasse,Persembahan,Yes
Surat Paskah,,"1617734607223.png, Rechnung_3216359248.pdf","April 8, 2021",-37.02,expense,internal,sparkasse,Other,Yes
Persembahan,,,"April 10, 2021",157.5,income,,sparkasse,Persembahan,Yes
Persembahan,,,"April 17, 2021",132.5,income,,sparkasse,Persembahan,Yes
Hadiah paskah,,https://www.notion.soundefined,"April 24, 2021",-37.04,expense,internal,sparkasse,Other,Yes
Persembahan,,,"April 24, 2021",265.17,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"April 29, 2021",80,income,,sparkasse,Pendeta,Yes
Sumbangan om Hokky,Sumbangan dari alumni,,"April 29, 2021",270,income,,sparkasse,Other,Yes
Persembahan,,,"May 1, 2021",285.55,income,,sparkasse,Persembahan,Yes
Sumbangan om Hokky,Alumni (270€) + Perki (300€),,"May 3, 2021",-570,expense,eksternal,sparkasse,Other,Yes
Uang pendeta,,https://www.notion.soundefined,"May 3, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Game Jackbox,PIC: Danny,,"May 5, 2021",-16.24,expense,internal,sparkasse,Other,Yes
Persembahan,,,"May 8, 2021",194.5,income,,sparkasse,Persembahan,Yes
Persembahan,,,"May 22, 2021",145.91,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"May 24, 2021",50,income,,sparkasse,Pendeta,Yes
Support dari alumni,,,"May 28, 2021",30,income,,sparkasse,Pendeta,Yes
Persembahan,,,"May 29, 2021",144.8,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,https://www.notion.soundefined,"June 2, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Bencana,PIC: Aldi,https://www.notion.soundefined,"June 2, 2021",-150,expense,eksternal,sparkasse,Other,Yes
Persembahan,,,"June 5, 2021",115,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"June 5, 2021",50,income,,sparkasse,Pendeta,Yes
Persembahan,,,"June 12, 2021",416.5,income,,sparkasse,Persembahan,Yes
Persembahan,,https://www.notion.soundefined,"June 26, 2021",210,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"June 28, 2021",30,income,,sparkasse,Pendeta,Yes
Persembahan,,,"July 3, 2021",406.79,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"July 6, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"July 10, 2021",230,income,,sparkasse,Persembahan,Yes
Persembahan,,,"July 17, 2021",183,income,,sparkasse,Persembahan,Yes
Sumbangan Covid Indo,,,"July 20, 2021",-300,expense,eksternal,sparkasse,Other,Yes
Hochwasserspende dari jemaat,,,"July 23, 2021",188,income,,sparkasse,Other,Yes
Hochwasserspende,"(188€ dari jemaat, 150€ dari perki)",,"July 24, 2021",-338,expense,eksternal,sparkasse,Other,Yes
Persembahan,,,"July 24, 2021",143.5,income,,sparkasse,Persembahan,Yes
"Konsumsi, desinfektan, kue ultah, dll Ibadah offline 24.07.2021",,"3D9D958F-C661-448A-BEBB-A23ABD8CD6B0.jpeg, F9BF012C-C1CB-4A52-B511-02A9AFCBFC67.jpeg, S__44326916.jpg","July 25, 2021",-68.25,expense,internal,sparkasse,Makan,Yes
Konsumsi Pendeta,PIC: Steffen,,"July 28, 2021",-10,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"July 31, 2021",138.54,income,,sparkasse,Persembahan,Yes
Buku,PIC: Steffen,S__17276970.jpg,"August 2, 2021",-8.78,expense,internal,sparkasse,Other,Yes
Support dari Alumni,,,"August 3, 2021",100,income,,sparkasse,Pendeta,Yes
Uang Pendeta,,,"August 3, 2021",-290,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"August 6, 2021",2320,income,,sparkasse,Persembahan,Yes
Persembahan,,,"August 7, 2021",86.14,income,,sparkasse,Persembahan,Yes
Persembahan,,,"August 14, 2021",205,income,,sparkasse,Persembahan,Yes
Ibadah offline 14.07.2021,,,"August 20, 2021",-59.21,expense,internal,sparkasse,Makan,Yes
Persembahan,,,"August 21, 2021",115.5,income,,sparkasse,Persembahan,Yes
